title,summary,authors,title_summary,keywords
One Model to Rule them All: Towards Zero-Shot Learning for Databases,"In this paper, we present our vision of so called zero-shot learning for
databases which is a new learning approach for database components. Zero-shot
learning for databases is inspired by recent advances in transfer learning of
models such as GPT-3 and can support a new database out-of-the box without the
need to train a new model. Furthermore, it can easily be extended to few-shot
learning by further retraining the model on the unseen database. As a first
concrete contribution in this paper, we show the feasibility of zero-shot
learning for the task of physical cost estimation and present very promising
initial results. Moreover, as a second contribution we discuss the core
challenges related to zero-shot learning for databases and present a roadmap to
extend zero-shot learning towards many other tasks beyond cost estimation or
even beyond classical database systems and workloads.","Benjamin Hilprecht, Carsten Binnig","One Model to Rule them All: Towards Zero-Shot Learning for Databases. In this paper, we present our vision of so called zero-shot learning for
databases which is a new learning approach for database components. Zero-shot
learning for databases is inspired by recent advances in transfer learning of
models such as GPT-3 and can support a new database out-of-the box without the
need to train a new model. Furthermore, it can easily be extended to few-shot
learning by further retraining the model on the unseen database. As a first
concrete contribution in this paper, we show the feasibility of zero-shot
learning for the task of physical cost estimation and present very promising
initial results. Moreover, as a second contribution we discuss the core
challenges related to zero-shot learning for databases and present a roadmap to
extend zero-shot learning towards many other tasks beyond cost estimation or
even beyond classical database systems and workloads.","Zero-Shot Learning, Databases, GPT-3, Transfer Learning, Few-shot"
"Bag-of-Features Image Indexing and Classification in Microsoft SQL
  Server Relational Database","This paper presents a novel relational database architecture aimed to visual
objects classification and retrieval. The framework is based on the
bag-of-features image representation model combined with the Support Vector
Machine classification and is integrated in a Microsoft SQL Server database.","Marcin Korytkowski, Rafal Scherer, Pawel Staszewski, Piotr Woldan","Bag-of-Features Image Indexing and Classification in Microsoft SQL
  Server Relational Database. This paper presents a novel relational database architecture aimed to visual
objects classification and retrieval. The framework is based on the
bag-of-features image representation model combined with the Support Vector
Machine classification and is integrated in a Microsoft SQL Server database.","Bag-of-Features, Image Indexing, Classification, Microsoft SQL Server, Support Vector Machine, Relational Database"
polyDB: A Database for Polytopes and Related Objects,"polyDB is a database for discrete geometric objects. The database is
accessible via web and an interface from the software package polymake. It
contains various datasets from the area of lattice polytopes, combinatorial
polytopes, matroids and tropical geometry. In this short note we introduce the
structure of the database and explain its use with a computation of the free
sums and certain skew bipyramids among the class of smooth Fano polytopes in
dimension up to 8.",Andreas Paffenholz,"polyDB: A Database for Polytopes and Related Objects. polyDB is a database for discrete geometric objects. The database is
accessible via web and an interface from the software package polymake. It
contains various datasets from the area of lattice polytopes, combinatorial
polytopes, matroids and tropical geometry. In this short note we introduce the
structure of the database and explain its use with a computation of the free
sums and certain skew bipyramids among the class of smooth Fano polytopes in
dimension up to 8.","polyDB, Database, Polytopes, Matroids, Tropical Geometry"
Fundamental Limits of Database Alignment,"We consider the problem of aligning a pair of databases with correlated
entries. We introduce a new measure of correlation in a joint distribution that
we call cycle mutual information. This measure has operational significance: it
determines whether exact recovery of the correspondence between database
entries is possible for any algorithm. Additionally, there is an efficient
algorithm for database alignment that achieves this information theoretic
threshold.","Daniel Cullina, Prateek Mittal, Negar Kiyavash","Fundamental Limits of Database Alignment. We consider the problem of aligning a pair of databases with correlated
entries. We introduce a new measure of correlation in a joint distribution that
we call cycle mutual information. This measure has operational significance: it
determines whether exact recovery of the correspondence between database
entries is possible for any algorithm. Additionally, there is an efficient
algorithm for database alignment that achieves this information theoretic
threshold.","Database Alignment, Information Theory, Cycle Mutual Information"
Social Choice Methods for Database Aggregation,"Knowledge can be represented compactly in multiple ways, from a set of
propositional formulas, to a Kripke model, to a database. In this paper we
study the aggregation of information coming from multiple sources, each source
submitting a database modelled as a first-order relational structure. In the
presence of integrity constraints, we identify classes of aggregators that
respect them in the aggregated database, provided these are satisfied in all
individual databases. We also characterise languages for first-order queries on
which the answer to a query on the aggregated database coincides with the
aggregation of the answers to the query obtained on each individual database.
This contribution is meant to be a first step on the application of techniques
from social choice theory to knowledge representation in databases.","Francesco Belardinelli, Umberto Grandi","Social Choice Methods for Database Aggregation. Knowledge can be represented compactly in multiple ways, from a set of
propositional formulas, to a Kripke model, to a database. In this paper we
study the aggregation of information coming from multiple sources, each source
submitting a database modelled as a first-order relational structure. In the
presence of integrity constraints, we identify classes of aggregators that
respect them in the aggregated database, provided these are satisfied in all
individual databases. We also characterise languages for first-order queries on
which the answer to a query on the aggregated database coincides with the
aggregation of the answers to the query obtained on each individual database.
This contribution is meant to be a first step on the application of techniques
from social choice theory to knowledge representation in databases.","Social Choice Methods, Database Aggregation, Kripke Model, Integrity Constraints"
Trends in Development of Databases and Blockchain,"This work is about the mutual influence between two technologies: Databases
and Blockchain. It addresses two questions: 1. How the database technology has
influenced the development of blockchain technology?, and 2. How blockchain
technology has influenced the introduction of new functionalities in some
modern databases? For the first question, we explain how database technology
contributes to blockchain technology by unlocking different features such as
ACID (Atomicity, Consistency, Isolation, and Durability) transactional
consistency, rich queries, real-time analytics, and low latency. We explain how
the CAP (Consistency, Availability, Partition tolerance) theorem known for
databases influenced the DCS (Decentralization, Consistency, Scalability)
theorem for the blockchain systems. By using an analogous relaxation approach
as it was used for the proof of the CAP theorem, we postulate a
""DCS-satisfiability conjecture."" For the second question, we review different
databases that are designed specifically for blockchain and provide most of the
blockchain functionality like immutability, privacy, censorship resistance,
along with database features.","Mayank Raikwar, Danilo Gligoroski, Goran Velinov","Trends in Development of Databases and Blockchain. This work is about the mutual influence between two technologies: Databases
and Blockchain. It addresses two questions: 1. How the database technology has
influenced the development of blockchain technology?, and 2. How blockchain
technology has influenced the introduction of new functionalities in some
modern databases? For the first question, we explain how database technology
contributes to blockchain technology by unlocking different features such as
ACID (Atomicity, Consistency, Isolation, and Durability) transactional
consistency, rich queries, real-time analytics, and low latency. We explain how
the CAP (Consistency, Availability, Partition tolerance) theorem known for
databases influenced the DCS (Decentralization, Consistency, Scalability)
theorem for the blockchain systems. By using an analogous relaxation approach
as it was used for the proof of the CAP theorem, we postulate a
""DCS-satisfiability conjecture."" For the second question, we review different
databases that are designed specifically for blockchain and provide most of the
blockchain functionality like immutability, privacy, censorship resistance,
along with database features.","Database Technology, Blockchain, DCS, Atomicity, Consistency, Availability, Partition Tolerance, Durability, Immutability, Privacy, Censorship"
"Hihooi: A Database Replication Middleware for Scaling Transactional
  Databases Consistently","With the advent of the Internet and Internet-connected devices, modern
business applications can experience rapid increases as well as variability in
transactional workloads. Database replication has been employed to scale
performance and improve availability of relational databases but past
approaches have suffered from various issues including limited scalability,
performance versus consistency tradeoffs, and requirements for database or
application modifications. This paper presents Hihooi, a replication-based
middleware system that is able to achieve workload scalability, strong
consistency guarantees, and elasticity for existing transactional databases at
a low cost. A novel replication algorithm enables Hihooi to propagate database
modifications asynchronously to all replicas at high speeds, while ensuring
that all replicas are consistent. At the same time, a fine-grained routing
algorithm is used to load balance incoming transactions to available replicas
in a consistent way. Our thorough experimental evaluation with several
well-established benchmarks shows how Hihooi is able to achieve almost linear
workload scalability for transactional databases.","Michael A. Georgiou, Aristodemos Paphitis, Michael Sirivianos, Herodotos Herodotou","Hihooi: A Database Replication Middleware for Scaling Transactional
  Databases Consistently. With the advent of the Internet and Internet-connected devices, modern
business applications can experience rapid increases as well as variability in
transactional workloads. Database replication has been employed to scale
performance and improve availability of relational databases but past
approaches have suffered from various issues including limited scalability,
performance versus consistency tradeoffs, and requirements for database or
application modifications. This paper presents Hihooi, a replication-based
middleware system that is able to achieve workload scalability, strong
consistency guarantees, and elasticity for existing transactional databases at
a low cost. A novel replication algorithm enables Hihooi to propagate database
modifications asynchronously to all replicas at high speeds, while ensuring
that all replicas are consistent. At the same time, a fine-grained routing
algorithm is used to load balance incoming transactions to available replicas
in a consistent way. Our thorough experimental evaluation with several
well-established benchmarks shows how Hihooi is able to achieve almost linear
workload scalability for transactional databases.","Hihooi, Database Replication, Relational Databases, Algorithms, Elasticity"
The High-Quality Wide Multi-Channel Attack (HQ-WMCA) database,"The High-Quality Wide Multi-Channel Attack database (HQ-WMCA) database
extends the previous Wide Multi-Channel Attack database(WMCA), with more
channels including color, depth, thermal, infrared (spectra), and short-wave
infrared (spectra), and also a wide variety of attacks.","Zohreh Mostaani, Anjith George, Guillaume Heusch, David Geissbuhler, Sebastien Marcel","The High-Quality Wide Multi-Channel Attack (HQ-WMCA) database. The High-Quality Wide Multi-Channel Attack database (HQ-WMCA) database
extends the previous Wide Multi-Channel Attack database(WMCA), with more
channels including color, depth, thermal, infrared (spectra), and short-wave
infrared (spectra), and also a wide variety of attacks.","HQ-WMCA, Wide Multi-Channel Attack, Database, Color, Depth, Thermal, Infrared"
"Translating synthetic natural language to database queries: a polyglot
  deep learning framework","The number of databases as well as their size and complexity is increasing.
This creates a barrier to use especially for non-experts, who have to come to
grips with the nature of the data, the way it has been represented in the
database, and the specific query languages or user interfaces by which data are
accessed. These difficulties worsen in research settings, where it is common to
work with many different databases. One approach to improving this situation is
to allow users to pose their queries in natural language.
  In this work we describe a machine learning framework, Polyglotter, that in a
general way supports the mapping of natural language searches to database
queries. Importantly, it does not require the creation of manually annotated
data for training and therefore can be applied easily to multiple domains. The
framework is polyglot in the sense that it supports multiple different database
engines that are accessed with a variety of query languages, including SQL and
Cypher. Furthermore Polyglotter also supports multi-class queries.
  Our results indicate that our framework performs well on both synthetic and
real databases, and may provide opportunities for database maintainers to
improve accessibility to their resources.","Adrián Bazaga, Nupur Gunwant, Gos Micklem","Translating synthetic natural language to database queries: a polyglot
  deep learning framework. The number of databases as well as their size and complexity is increasing.
This creates a barrier to use especially for non-experts, who have to come to
grips with the nature of the data, the way it has been represented in the
database, and the specific query languages or user interfaces by which data are
accessed. These difficulties worsen in research settings, where it is common to
work with many different databases. One approach to improving this situation is
to allow users to pose their queries in natural language.
  In this work we describe a machine learning framework, Polyglotter, that in a
general way supports the mapping of natural language searches to database
queries. Importantly, it does not require the creation of manually annotated
data for training and therefore can be applied easily to multiple domains. The
framework is polyglot in the sense that it supports multiple different database
engines that are accessed with a variety of query languages, including SQL and
Cypher. Furthermore Polyglotter also supports multi-class queries.
  Our results indicate that our framework performs well on both synthetic and
real databases, and may provide opportunities for database maintainers to
improve accessibility to their resources.","Polyglotter, Deep Learning, Synthetic Natural Language Processing, Database, SQL, Cypher"
NHtapDB: Native HTAP Databases,"Native database (1) provides a near-data machine learning framework to
facilitate generating real-time business insight, and predefined change
thresholds will trigger online training and deployment of new models, and (2)
offers a mixed-format store to guarantee the performance of HTAP workloads,
especially the hybrid workloads that consist of OLAP queries in-between online
transactions. We make rigorous test plans for native database with an enhanced
state-of-the-art HTAP benchmark.","Guoxin Kang, Lei Wang, Simin Chen, Jianfeng Zhan","NHtapDB: Native HTAP Databases. Native database (1) provides a near-data machine learning framework to
facilitate generating real-time business insight, and predefined change
thresholds will trigger online training and deployment of new models, and (2)
offers a mixed-format store to guarantee the performance of HTAP workloads,
especially the hybrid workloads that consist of OLAP queries in-between online
transactions. We make rigorous test plans for native database with an enhanced
state-of-the-art HTAP benchmark.","NHtapDB, Native HTAP Databases, Near-Data, Machine Learning, Mixed-format Store, OLAP"
Graph Data Models and Relational Database Technology,"Recent work on database application development platforms has sought to
include a declarative formulation of a conceptual data model in the application
code, using annotations or attributes. Some recent work has used metadata to
include the details of such formulations in the physical database, and this
approach brings significant advantages in that the model can be enforced across
a range of applications for a single database. In previous work, we have
discussed the advantages for enterprise integration of typed graph data models
(TGM), which can play a similar role in graphical databases, leveraging the
existing support for the unified modelling language UML. Ideally, the
integration of systems designed with different models, for example, graphical
and relational database, should also be supported. In this work, we implement
this approach, using metadata in a relational database management system
(DBMS).","Malcolm Crowe, Fritz Laux","Graph Data Models and Relational Database Technology. Recent work on database application development platforms has sought to
include a declarative formulation of a conceptual data model in the application
code, using annotations or attributes. Some recent work has used metadata to
include the details of such formulations in the physical database, and this
approach brings significant advantages in that the model can be enforced across
a range of applications for a single database. In previous work, we have
discussed the advantages for enterprise integration of typed graph data models
(TGM), which can play a similar role in graphical databases, leveraging the
existing support for the unified modelling language UML. Ideally, the
integration of systems designed with different models, for example, graphical
and relational database, should also be supported. In this work, we implement
this approach, using metadata in a relational database management system
(DBMS).","Graph Data Models, Relational Database, Database Management System, DBMS, TGM"
"DONUT -- Creation, Development, and Opportunities of a Database","DONUT is a database of papers about practical, real-world uses of Topological
Data Analysis (TDA). Its original seed was planted in a group chat formed
during the HIM Spring School on Applied and Computational Algebraic Topology in
April 2017. This document describes the creation, curation, and maintenance
process of the database.","Barbara Giunti, Jānis Lazovskis, Bastian Rieck","DONUT -- Creation, Development, and Opportunities of a Database. DONUT is a database of papers about practical, real-world uses of Topological
Data Analysis (TDA). Its original seed was planted in a group chat formed
during the HIM Spring School on Applied and Computational Algebraic Topology in
April 2017. This document describes the creation, curation, and maintenance
process of the database.","DONUT, TopologicalData Analysis, TDA, HIM Spring School, Algebraic Topology"
From Database Repairs to Causality in Databases and Beyond,"We describe some recent approaches to score-based explanations for query
answers in databases. The focus is on work done by the author and
collaborators. Special emphasis is placed on the use of counterfactual
reasoning for score specification and computation. Several examples that
illustrate the flexibility of these methods are shown.",Leopoldo Bertossi,"From Database Repairs to Causality in Databases and Beyond. We describe some recent approaches to score-based explanations for query
answers in databases. The focus is on work done by the author and
collaborators. Special emphasis is placed on the use of counterfactual
reasoning for score specification and computation. Several examples that
illustrate the flexibility of these methods are shown.","Database Repairs, Causality, Score-based Explanation, Counterfactual Reasoning"
"Relational Playground: Teaching the Duality of Relational Algebra and
  SQL","Students in introductory data management courses are often taught how to
write queries in SQL. This is a useful and practical skill, but it gives
limited insight into how queries are processed by relational database engines.
In contrast, relational algebra is a commonly used internal representation of
queries by database engines, but can be challenging for students to grasp. We
developed a tool we call Relational Playground for database students to explore
the connection between relational algebra and SQL.",Michael Mior,"Relational Playground: Teaching the Duality of Relational Algebra and
  SQL. Students in introductory data management courses are often taught how to
write queries in SQL. This is a useful and practical skill, but it gives
limited insight into how queries are processed by relational database engines.
In contrast, relational algebra is a commonly used internal representation of
queries by database engines, but can be challenging for students to grasp. We
developed a tool we call Relational Playground for database students to explore
the connection between relational algebra and SQL.","Relational Playground, Relational Algebra, SQL, Data Management"
Databases for comparative syntactic research,"Recent years have witnessed a steep increase in linguistic databases
capturing syntactic variation. We survey and describe 21 publicly available
morpho-syntactic databases, focusing on such properties as data structure, user
interface, documentation, formats, and overall user friendliness. We
demonstrate that all the surveyed databases can be fruitfully categorized along
two dimensions: units of description and the design principle. Units of
description refer to the type of the data the database represents (languages,
constructions, or expressions). The design principles capture the internal
logic of the database. We identify three primary design principles, which vary
in their descriptive power, granularity, and complexity: monocategorization,
multicategorization, and structural decomposition. We describe how these design
principles are implemented in concrete databases and discuss their advantages
and limitations. Finally, we outline essential desiderata for future modern
databases in linguistics.","Jessica K. Ivani, Balthasar Bickel","Databases for comparative syntactic research. Recent years have witnessed a steep increase in linguistic databases
capturing syntactic variation. We survey and describe 21 publicly available
morpho-syntactic databases, focusing on such properties as data structure, user
interface, documentation, formats, and overall user friendliness. We
demonstrate that all the surveyed databases can be fruitfully categorized along
two dimensions: units of description and the design principle. Units of
description refer to the type of the data the database represents (languages,
constructions, or expressions). The design principles capture the internal
logic of the database. We identify three primary design principles, which vary
in their descriptive power, granularity, and complexity: monocategorization,
multicategorization, and structural decomposition. We describe how these design
principles are implemented in concrete databases and discuss their advantages
and limitations. Finally, we outline essential desiderata for future modern
databases in linguistics.","Databases, Comparative Syntactic Research, Linguistics"
Effective Bug Detection in Graph Database Engines: An LLM-based Approach,"Graph database engines play a pivotal role in efficiently storing and
managing graph data across various domains, including bioinformatics, knowledge
graphs, and recommender systems. Ensuring data accuracy within graph database
engines is paramount, as inaccuracies can yield unreliable analytical outcomes.
Current bug-detection approaches are confined to specific graph query
languages, limiting their applicabilities when handling graph database engines
that use various graph query languages across various domains. Moreover, they
require extensive prior knowledge to generate queries for detecting bugs. To
address these challenges, we introduces DGDB, a novel paradigm harnessing large
language models(LLM), such as ChatGPT, for comprehensive bug detection in graph
database engines. DGDB leverages ChatGPT to generate high-quality queries for
different graph query languages. It subsequently employs differential testing
to identify bugs in graph database engines. We applied this paradigm to graph
database engines using the Gremlin query language and those using the Cypher
query language, generating approximately 4,000 queries each. In the latest
versions of Neo4j, Agensgraph, and JanusGraph databases, we detected 2, 5, and
3 wrong-result bugs, respectively.","Jiayi Wu, Zhengyu Wu, Ronghua Li, Hongchao Qin, Guoren Wang","Effective Bug Detection in Graph Database Engines: An LLM-based Approach. Graph database engines play a pivotal role in efficiently storing and
managing graph data across various domains, including bioinformatics, knowledge
graphs, and recommender systems. Ensuring data accuracy within graph database
engines is paramount, as inaccuracies can yield unreliable analytical outcomes.
Current bug-detection approaches are confined to specific graph query
languages, limiting their applicabilities when handling graph database engines
that use various graph query languages across various domains. Moreover, they
require extensive prior knowledge to generate queries for detecting bugs. To
address these challenges, we introduces DGDB, a novel paradigm harnessing large
language models(LLM), such as ChatGPT, for comprehensive bug detection in graph
database engines. DGDB leverages ChatGPT to generate high-quality queries for
different graph query languages. It subsequently employs differential testing
to identify bugs in graph database engines. We applied this paradigm to graph
database engines using the Gremlin query language and those using the Cypher
query language, generating approximately 4,000 queries each. In the latest
versions of Neo4j, Agensgraph, and JanusGraph databases, we detected 2, 5, and
3 wrong-result bugs, respectively.","DGDB, Bug Detection, LLM, Gremlin, Cypher, Neo4j, Agensgraph, JanusGraph"
"A Systematic Overview of Single-Cell Transcriptomics Databases, their
  Use cases, and Limitations","Rapid advancements in high-throughput single-cell RNA-seq (scRNA-seq)
technologies and experimental protocols have led to the generation of vast
amounts of genomic data that populates several online databases and
repositories. Here, we systematically examined large-scale scRNA-seq databases,
categorizing them based on their scope and purpose such as general,
tissue-specific databases, disease-specific databases, cancer-focused
databases, and cell type-focused databases. Next, we discuss the technical and
methodological challenges associated with curating large-scale scRNA-seq
databases, along with current computational solutions. We argue that
understanding scRNA-seq databases, including their limitations and assumptions,
is crucial for effectively utilizing this data to make robust discoveries and
identify novel biological insights. Furthermore, we propose that bridging the
gap between computational and wet lab scientists through user-friendly
web-based platforms is needed for democratizing access to single-cell data.
These platforms would facilitate interdisciplinary research, enabling
researchers from various disciplines to collaborate effectively. This review
underscores the importance of leveraging computational approaches to unravel
the complexities of single-cell data and offers a promising direction for
future research in the field.","Mahnoor N. Gondal, Saad Ur Rehman Shah, Arul M. Chinnaiyan, Marcin Cieslik","A Systematic Overview of Single-Cell Transcriptomics Databases, their
  Use cases, and Limitations. Rapid advancements in high-throughput single-cell RNA-seq (scRNA-seq)
technologies and experimental protocols have led to the generation of vast
amounts of genomic data that populates several online databases and
repositories. Here, we systematically examined large-scale scRNA-seq databases,
categorizing them based on their scope and purpose such as general,
tissue-specific databases, disease-specific databases, cancer-focused
databases, and cell type-focused databases. Next, we discuss the technical and
methodological challenges associated with curating large-scale scRNA-seq
databases, along with current computational solutions. We argue that
understanding scRNA-seq databases, including their limitations and assumptions,
is crucial for effectively utilizing this data to make robust discoveries and
identify novel biological insights. Furthermore, we propose that bridging the
gap between computational and wet lab scientists through user-friendly
web-based platforms is needed for democratizing access to single-cell data.
These platforms would facilitate interdisciplinary research, enabling
researchers from various disciplines to collaborate effectively. This review
underscores the importance of leveraging computational approaches to unravel
the complexities of single-cell data and offers a promising direction for
future research in the field.","Single-Cell Transcriptomics, ScRNA-seq, Large-Scale Databases, Computational Solutions"
"Evaluating NoSQL Databases for OLAP Workloads: A Benchmarking Study of
  MongoDB, Redis, Kudu and ArangoDB","In the era of big data, conventional RDBMS models have become impractical for
handling colossal workloads. Consequently, NoSQL databases have emerged as the
preferred storage solutions for executing processing-intensive Online
Analytical Processing (OLAP) tasks. Within the realm of NoSQL databases,
various classifications exist based on their data storage mechanisms, making it
challenging to select the most suitable one for a given OLAP workload. While
each NoSQL database boasts distinct advantages, inherent scalability,
adaptability to diverse data formats, and high data availability are
universally recognized benefits crucial for managing OLAP workloads
effectively. Existing research predominantly evaluates individual databases
within custom data pipeline setups, lacking a standardized approach for
comparative analysis across different databases to identify the optimal data
pipeline for OLAP workloads. In this paper, we present our experimental
insights into how various NoSQL databases handle OLAP workloads within a
standardized data processing pipeline. Our experimental pipeline comprises
Apache Spark for large-scale transformations, data cleansing, and schema
normalization, diverse NoSQL databases as data stores, and a Business
Intelligence tool for data analysis and visualization.","Rishi Kesav Mohan, Risheek Rakshit Sukumar Kanmani, Krishna Anandan Ganesan, Nisha Ramasubramanian","Evaluating NoSQL Databases for OLAP Workloads: A Benchmarking Study of
  MongoDB, Redis, Kudu and ArangoDB. In the era of big data, conventional RDBMS models have become impractical for
handling colossal workloads. Consequently, NoSQL databases have emerged as the
preferred storage solutions for executing processing-intensive Online
Analytical Processing (OLAP) tasks. Within the realm of NoSQL databases,
various classifications exist based on their data storage mechanisms, making it
challenging to select the most suitable one for a given OLAP workload. While
each NoSQL database boasts distinct advantages, inherent scalability,
adaptability to diverse data formats, and high data availability are
universally recognized benefits crucial for managing OLAP workloads
effectively. Existing research predominantly evaluates individual databases
within custom data pipeline setups, lacking a standardized approach for
comparative analysis across different databases to identify the optimal data
pipeline for OLAP workloads. In this paper, we present our experimental
insights into how various NoSQL databases handle OLAP workloads within a
standardized data processing pipeline. Our experimental pipeline comprises
Apache Spark for large-scale transformations, data cleansing, and schema
normalization, diverse NoSQL databases as data stores, and a Business
Intelligence tool for data analysis and visualization.","NoSQL Databases, OLAP, MongoDB, Redis, Kudu, ArangoDB, Apache Spark, Business Intelligence"
From Text to Databases: attribute grammar as database meta-model,"We present a general methodology for structuring textual data, represented as
syntax trees enriched with semantic information, guided by a meta-model G
defined as an attribute grammar. The method involves an evolution process where
both the instance and its grammar evolve, with instance transformations guided
by rewriting rules and a similarity measure. Each new instance generates a
corresponding grammar, culminating in a target grammar GT that satisfies G.
  This methodology is applied to build a database populated from textual data.
The process generates both a database schema and its instance, independent of
specific database models. We demonstrate the approach using clinical medical
cases, where trees represent database instances and grammars act as database
schemas. Key contributions include the proposal of a general attribute grammar
G, a formalization of grammar evolution, and a proof-of-concept implementation
for database structuring.","Jacques Chabin, Mirian Halfeld-Ferrari, Nicolas Hiot","From Text to Databases: attribute grammar as database meta-model. We present a general methodology for structuring textual data, represented as
syntax trees enriched with semantic information, guided by a meta-model G
defined as an attribute grammar. The method involves an evolution process where
both the instance and its grammar evolve, with instance transformations guided
by rewriting rules and a similarity measure. Each new instance generates a
corresponding grammar, culminating in a target grammar GT that satisfies G.
  This methodology is applied to build a database populated from textual data.
The process generates both a database schema and its instance, independent of
specific database models. We demonstrate the approach using clinical medical
cases, where trees represent database instances and grammars act as database
schemas. Key contributions include the proposal of a general attribute grammar
G, a formalization of grammar evolution, and a proof-of-concept implementation
for database structuring.","Attribute Grammar, Database, Meta-model, Grammar Evolution"
"Lua API and benchmark design using 3n+1 sequences: Comparing API
  elegance and raw speed in Redis and YottaDB databases","Elegance of a database API matters. Frequently, database APIs suit the
database designer, rather than the programmer's desire for elegance and
efficiency. This article pursues both: firstly, by comparing the Lua APIs for
two separate databases, Redis and YottaDB. Secondly, it looks under the API
covers at how object orientation can help to retain API efficiency. Finally, it
benchmarks both databases using each API to implement a 3n+1 sequence generator
(of Collatz Conjecture fame). It covers the eccentricities of the Lua APIs, the
databases, and the nifty choice of benchmark tool, presenting benchmark results
of each database's unique design.",Berwyn Hoyt,"Lua API and benchmark design using 3n+1 sequences: Comparing API
  elegance and raw speed in Redis and YottaDB databases. Elegance of a database API matters. Frequently, database APIs suit the
database designer, rather than the programmer's desire for elegance and
efficiency. This article pursues both: firstly, by comparing the Lua APIs for
two separate databases, Redis and YottaDB. Secondly, it looks under the API
covers at how object orientation can help to retain API efficiency. Finally, it
benchmarks both databases using each API to implement a 3n+1 sequence generator
(of Collatz Conjecture fame). It covers the eccentricities of the Lua APIs, the
databases, and the nifty choice of benchmark tool, presenting benchmark results
of each database's unique design.","Lua API, 3n+1 sequences, Redis, YottaDB, Collatz Conjecture"
"An Ehrenfeucht-Fraisse Game Approach to Collapse Results in Database
  Theory","We present a new Ehrenfeucht-Fraisse game approach to collapse results in
database theory and we show that, in principle, this approach suffices to prove
every natural generic collapse result. Following this approach we can deal with
certain infinite databases where previous, highly involved methods fail. We
prove the natural generic collapse for Z-embeddable databases over any linearly
ordered context structure with arbitrary monadic predicates, and for
N-embeddable databases over the context structure (R,<,+,Mon_Q,Groups). Here,
N, Z, R, denote the sets of natural numbers, integers, and real numbers,
respectively. Groups is the collection of all subgroups of (R,+) that contain
Z, and Mon_Q is the collection of all subsets of a particular infinite subset Q
of N. Restricting the complexity of the formulas that may be used to formulate
queries to Boolean combinations of purely existential first-order formulas, we
even obtain the collapse for N-embeddable databases over any linearly ordered
context structure with arbitrary predicates. Finally, we develop the notion of
N-representable databases, which is a natural generalization of the classical
notion of finitely representable databases. We show that natural generic
collapse results for N-embeddable databases can be lifted to the larger class
of N-representable databases. To obtain, in particular, the collapse result for
(N,<,+,Mon_Q), we explicitly construct a winning strategy for the duplicator in
the presence of the built-in addition relation +. This, as a side product, also
leads to an Ehrenfeucht-Fraisse game proof of the theorem of Ginsburg and
Spanier, stating that the spectra of FO(<,+)-sentences are semi-linear.",Nicole Schweikardt,"An Ehrenfeucht-Fraisse Game Approach to Collapse Results in Database
  Theory. We present a new Ehrenfeucht-Fraisse game approach to collapse results in
database theory and we show that, in principle, this approach suffices to prove
every natural generic collapse result. Following this approach we can deal with
certain infinite databases where previous, highly involved methods fail. We
prove the natural generic collapse for Z-embeddable databases over any linearly
ordered context structure with arbitrary monadic predicates, and for
N-embeddable databases over the context structure (R,<,+,Mon_Q,Groups). Here,
N, Z, R, denote the sets of natural numbers, integers, and real numbers,
respectively. Groups is the collection of all subgroups of (R,+) that contain
Z, and Mon_Q is the collection of all subsets of a particular infinite subset Q
of N. Restricting the complexity of the formulas that may be used to formulate
queries to Boolean combinations of purely existential first-order formulas, we
even obtain the collapse for N-embeddable databases over any linearly ordered
context structure with arbitrary predicates. Finally, we develop the notion of
N-representable databases, which is a natural generalization of the classical
notion of finitely representable databases. We show that natural generic
collapse results for N-embeddable databases can be lifted to the larger class
of N-representable databases. To obtain, in particular, the collapse result for
(N,<,+,Mon_Q), we explicitly construct a winning strategy for the duplicator in
the presence of the built-in addition relation +. This, as a side product, also
leads to an Ehrenfeucht-Fraisse game proof of the theorem of Ginsburg and
Spanier, stating that the spectra of FO(<,+)-sentences are semi-linear.","Database Theory, Ehrenfeucht-Fraisse Game, Natural Generic Collapse, N-embeddable Databases, Z Embeddable, Monadic, Groups"
